iter	MultiClass
0	1.094156655
1	1.089481031
2	1.084934002
3	1.079142613
4	1.075065524
5	1.069841863
6	1.06711138
7	1.061857771
8	1.056900843
9	1.053919931
10	1.049337888
11	1.046343408
12	1.041760437
13	1.039607327
14	1.037237011
15	1.035288455
16	1.032811255
17	1.029704246
18	1.027318532
19	1.024533317
20	1.020321011
21	1.016495246
22	1.012702392
23	1.01096172
24	1.009495794
25	1.007488722
26	1.004807809
27	1.002689012
28	1.000633515
29	0.9972417872
30	0.9927733898
31	0.9906418983
32	0.987738729
33	0.9848216652
34	0.9821950481
35	0.9792925255
36	0.9763448609
37	0.973432952
38	0.9705577281
39	0.9682236017
40	0.965505566
41	0.9640312762
42	0.9628165025
43	0.9601246685
44	0.9583056675
45	0.9552179938
46	0.9523435475
47	0.9506379635
48	0.9465432674
49	0.9441046153
50	0.9426984282
51	0.9400853015
52	0.9392457978
53	0.9369453836
54	0.9342865269
55	0.930952522
56	0.9281622133
57	0.9264433272
58	0.9233742469
59	0.9213834324
60	0.9193365216
61	0.9160824711
62	0.9133739606
63	0.9112713496
64	0.9095309361
65	0.9087306062
66	0.906474688
67	0.904249998
68	0.9027182448
69	0.9015586228
70	0.9000068192
71	0.8979561845
72	0.8971109411
73	0.8958934255
74	0.8933927774
75	0.8913290143
76	0.8894365438
77	0.8876413833
78	0.8856648907
79	0.8842114106
80	0.882983393
81	0.8814000288
82	0.8796882046
83	0.8773841784
84	0.8757063569
85	0.874639274
86	0.8717396363
87	0.869682087
88	0.868375674
89	0.8670190662
90	0.8651805642
91	0.8626328524
92	0.8615185908
93	0.8590213219
94	0.8566464883
95	0.8546330072
96	0.8525667593
97	0.8513287851
98	0.8496057735
99	0.8476858703
100	0.8456085054
101	0.8439021744
102	0.841649408
103	0.8393053924
104	0.8370826545
105	0.8349313636
106	0.832849184
107	0.8305324089
108	0.8272506172
109	0.8247845096
110	0.8234209066
111	0.8221159983
112	0.8195911286
113	0.8174397449
114	0.8157947408
115	0.8122529449
116	0.8097902888
117	0.8082812387
118	0.806898444
119	0.8044013697
120	0.803399757
121	0.8019494954
122	0.7996427369
123	0.7983386554
124	0.7969772675
125	0.7948279541
126	0.7927378106
127	0.7908439596
128	0.7881802226
129	0.7867020955
130	0.7854310283
131	0.7826049371
132	0.7815580297
133	0.7799935652
134	0.7769636682
135	0.7752503026
136	0.773486643
137	0.7712723375
138	0.7694722076
139	0.7665354031
140	0.7649225449
141	0.7640967332
142	0.7627079883
143	0.7611767117
144	0.7594292911
145	0.7578125013
146	0.7561593072
147	0.7545103626
148	0.7519054359
149	0.7504981565
150	0.7481110756
151	0.7464194407
152	0.7449740209
153	0.7428614732
154	0.7415311409
155	0.7403147785
156	0.7384330201
157	0.7374230434
158	0.7347059444
159	0.7329993215
160	0.7305344341
161	0.7281952223
162	0.7268892793
163	0.7255136017
164	0.7237027556
165	0.7228824447
166	0.7210865975
167	0.7196965781
168	0.7181655806
169	0.7173012089
170	0.714439203
171	0.7119314424
172	0.710680803
173	0.7084973542
174	0.7068576859
175	0.7052007732
176	0.7038030174
177	0.7017888518
178	0.7004929267
179	0.6993625299
180	0.6981429624
181	0.6968321739
182	0.6951989306
183	0.6923917606
184	0.6907944522
185	0.6887572896
186	0.6870691737
187	0.6853418133
188	0.6833886665
189	0.6807292791
190	0.6791916641
191	0.6775728809
192	0.6761528094
193	0.6743754329
194	0.6729965018
195	0.6713019292
196	0.6691126526
197	0.6673835049
198	0.6644566522
199	0.6625397479
200	0.6616317111
201	0.6605814743
202	0.6589678598
203	0.6578401919
204	0.6568983565
205	0.6554808432
206	0.6536045618
207	0.6514815671
208	0.6500743171
209	0.6484417219
210	0.6462064402
211	0.6447011491
212	0.6430719169
213	0.6407070806
214	0.639654883
215	0.6371825707
216	0.6361118583
217	0.634550956
218	0.632336565
219	0.629992922
220	0.6286732412
221	0.6266096793
222	0.624760006
223	0.622403748
224	0.6213664265
225	0.6199529457
226	0.6177451312
227	0.6161165228
228	0.6147243756
229	0.6142501039
230	0.6117676726
231	0.610927278
232	0.6089825616
233	0.6080122622
234	0.606191291
235	0.605155663
236	0.6039524839
237	0.6022081857
238	0.6004365934
239	0.5975750294
240	0.596013857
241	0.5952378151
242	0.5939985446
243	0.5930738151
244	0.5925022896
245	0.5916410413
246	0.5911010795
247	0.5892528442
248	0.5867491082
249	0.5859149213
250	0.5844287748
251	0.5836996348
252	0.5821331396
253	0.5810536163
254	0.5800147519
255	0.579014272
256	0.5781411596
257	0.5761915843
258	0.5750126653
259	0.5736615657
260	0.572529194
261	0.5715859891
262	0.5707324655
263	0.5697387297
264	0.5691497159
265	0.5683443662
266	0.5674605165
267	0.5654585882
268	0.5640154539
269	0.5619600944
270	0.5600118497
271	0.5585258544
272	0.5574658228
273	0.5563342936
274	0.5552319466
275	0.5540978596
276	0.5532724945
277	0.5520041848
278	0.5505262182
279	0.5495803701
280	0.5487363867
281	0.5475270264
282	0.5468265559
283	0.5459355474
284	0.5447229324
285	0.5436434712
286	0.542569275
287	0.5420381445
288	0.5414184066
289	0.5403038833
290	0.5392642513
291	0.538058809
292	0.5363060569
293	0.5350089362
294	0.5339602129
295	0.5327519964
296	0.5313809172
297	0.5305707459
298	0.5293354938
299	0.5284736305
300	0.5276007398
301	0.5263029754
302	0.5248274586
303	0.5237326869
304	0.5220702099
305	0.5204987467
306	0.5192610128
307	0.5177927086
308	0.5165781889
309	0.5158074477
310	0.5146662624
311	0.5136082611
312	0.5127795295
313	0.5116239074
314	0.5104646168
315	0.5093438734
316	0.5084004612
317	0.5068272109
318	0.5055696757
319	0.5043468562
320	0.5036894259
321	0.5027324541
322	0.5012729046
323	0.5004313357
324	0.499299587
325	0.4978060261
326	0.4967837963
327	0.4956232277
328	0.4949541576
329	0.4939648087
330	0.4927416299
331	0.4924832806
332	0.4915532434
333	0.4899248284
334	0.4889789536
335	0.487939721
336	0.4871550589
337	0.4862035096
338	0.4851897112
339	0.4847130161
340	0.4836421222
341	0.4831115646
342	0.4823867614
343	0.4814672669
344	0.4800152318
345	0.4790105657
346	0.4783076716
347	0.4771441015
348	0.4762497103
349	0.4754948952
