iter	Passed	Remaining
0	65	98924
1	69	51867
2	71	35731
3	73	27538
4	75	22700
5	78	19453
6	80	17140
7	83	15527
8	85	14190
9	87	13092
10	90	12250
11	96	11962
12	102	11715
13	105	11226
14	108	10710
15	111	10358
16	115	10044
17	117	9708
18	120	9386
19	122	9073
20	125	8840
21	127	8587
22	129	8343
23	132	8123
24	134	7923
25	136	7732
26	138	7562
27	142	7468
28	145	7364
29	148	7257
30	150	7127
31	153	7020
32	155	6920
33	158	6844
34	160	6732
35	163	6633
36	165	6536
37	167	6454
38	169	6362
39	172	6280
40	174	6209
41	176	6138
42	178	6058
43	181	5998
44	183	5921
45	186	5887
46	188	5840
47	191	5793
48	193	5741
49	196	5684
50	198	5647
51	200	5592
52	202	5535
53	205	5490
54	207	5447
55	209	5401
56	211	5357
57	214	5339
58	218	5325
59	220	5301
60	225	5328
61	228	5311
62	235	5370
63	242	5449
64	249	5498
65	252	5476
66	256	5492
67	259	5458
68	262	5445
69	264	5410
70	269	5417
71	273	5430
72	277	5433
73	280	5409
74	283	5380
75	286	5368
76	289	5347
77	291	5322
78	295	5306
79	297	5279
80	299	5249
81	302	5223
82	304	5206
83	307	5179
84	309	5156
85	312	5133
86	314	5105
87	316	5076
88	318	5049
89	320	5027
90	323	5004
91	325	4976
92	327	4955
93	329	4931
94	331	4905
95	334	4885
96	336	4868
97	338	4846
98	340	4825
99	343	4811
100	345	4789
101	348	4773
102	352	4787
103	360	4836
104	363	4832
105	366	4816
106	369	4804
107	371	4790
108	373	4772
109	377	4764
110	381	4769
111	396	4914
112	425	5222
113	437	5321
114	451	5438
115	461	5506
116	476	5633
117	483	5665
118	490	5689
119	527	6064
120	568	6474
121	574	6484
122	578	6475
123	586	6508
124	600	6606
125	624	6808
126	640	6924
127	647	6940
128	657	6990
129	663	6988
130	678	7086
131	686	7109
132	691	7102
133	698	7119
134	704	7122
135	708	7101
136	718	7152
137	724	7149
138	731	7166
139	735	7147
140	743	7170
141	751	7182
142	755	7172
143	759	7155
144	767	7169
145	772	7168
146	778	7161
147	782	7149
148	786	7128
149	791	7125
150	798	7136
151	803	7124
152	807	7108
153	812	7105
