iter	MultiClass
0	1.096164874
1	1.093564156
2	1.091019228
3	1.087734583
4	1.085969199
5	1.082946886
6	1.081002638
7	1.078098829
8	1.07510017
9	1.073188426
10	1.068774444
11	1.067039612
12	1.064305421
13	1.061844537
14	1.059915667
15	1.058354183
16	1.056177909
17	1.054321237
18	1.052777156
19	1.050643849
20	1.047838002
21	1.045558966
22	1.04351821
23	1.042328361
24	1.041367876
25	1.040027
26	1.03836701
27	1.036998093
28	1.036055241
29	1.034128522
30	1.03267335
31	1.031293592
32	1.028911068
33	1.027080649
34	1.025118754
35	1.02354796
36	1.021658528
37	1.019704313
38	1.017872837
39	1.016241511
40	1.014497138
41	1.012399915
42	1.011510662
43	1.010047414
44	1.008251404
45	1.006543525
46	1.004653756
47	1.003749666
48	1.00167224
49	1.00004711
50	0.9976704544
51	0.9964282405
52	0.9958710674
53	0.9943531097
54	0.9925573301
55	0.991280687
56	0.9894959772
57	0.9885837134
58	0.9866803024
59	0.9854793795
60	0.9836014057
61	0.9821189011
62	0.9803994104
63	0.9788598127
64	0.9773263905
65	0.9767063384
66	0.9752329353
67	0.9740915576
68	0.9729087149
69	0.972122933
70	0.97102853
71	0.9696500397
72	0.9690763396
73	0.9683495422
74	0.9670131053
75	0.965666129
76	0.9645961769
77	0.9633526088
78	0.9620189572
79	0.9607031519
80	0.9596175803
81	0.9584837153
82	0.9573501616
83	0.9556886524
84	0.9542905137
85	0.9535325965
86	0.9515603018
87	0.9499730113
88	0.9490808153
89	0.9479534516
90	0.9464571013
91	0.9444509083
92	0.9436014303
93	0.9426012151
94	0.9407249137
95	0.9384937069
96	0.9370392094
97	0.9359641047
98	0.9347110675
99	0.9336191584
100	0.9319740383
101	0.9305891621
102	0.9293782099
103	0.9277787571
104	0.9268825843
105	0.925929667
106	0.9248471671
107	0.9230767586
108	0.9217802084
109	0.9204507118
110	0.9196288232
111	0.9186443761
112	0.916852954
113	0.9154057202
114	0.9142670952
115	0.9118282591
116	0.9107898821
117	0.9095492796
118	0.9082848342
119	0.906876634
120	0.905169592
121	0.9042118421
122	0.9029168742
123	0.9016895346
124	0.9010598601
125	0.9002410998
126	0.8994183899
127	0.8983378265
128	0.8972084722
129	0.8960802916
130	0.8953074603
131	0.8943837883
132	0.8935326803
133	0.8923234345
134	0.8911093618
135	0.8899241137
136	0.8891078054
137	0.8879996868
138	0.8871832351
139	0.8861907369
140	0.8854418588
141	0.8843044249
142	0.8830515708
143	0.8822930036
144	0.8815598633
145	0.8804119605
146	0.8791259505
147	0.8777772989
148	0.8769415818
149	0.8759209363
150	0.8750729408
151	0.8742270423
152	0.8732748478
153	0.8713607495
154	0.8699972199
155	0.8688729654
156	0.8677334854
157	0.8666477082
158	0.8657404176
159	0.8640747976
160	0.8634079893
161	0.8623881304
162	0.8618855866
163	0.8615413533
164	0.8606114094
165	0.8597963026
166	0.8587937991
167	0.8579145595
168	0.8559021595
169	0.8546450965
170	0.853948865
171	0.852642546
172	0.8516972228
173	0.8503022535
174	0.8493233042
175	0.8477069841
176	0.8469771566
177	0.8460964695
178	0.8455837132
179	0.8446626494
180	0.8439391316
181	0.8426962548
182	0.841963866
183	0.8412003237
184	0.8404982791
185	0.8393720303
186	0.8377924256
187	0.8367830339
188	0.8361827431
189	0.8347385724
190	0.8341711703
191	0.8333839348
192	0.8325662304
193	0.832171776
194	0.8315701083
195	0.8302360162
196	0.8293497761
197	0.8282114594
198	0.8264347829
199	0.8258158815
200	0.8246350612
201	0.823791994
202	0.8227114705
203	0.8216462398
204	0.820814188
205	0.820161053
206	0.8191468905
207	0.8178928613
208	0.816240343
209	0.8154010753
210	0.814651098
211	0.8134374246
212	0.8126199133
213	0.8120113163
214	0.8113114905
215	0.8100518461
216	0.8088446557
217	0.8079326159
218	0.8072089155
219	0.8061560318
220	0.8052057472
221	0.8043766569
222	0.8037383374
223	0.8021531882
224	0.8012000551
225	0.8002658488
226	0.7990414534
227	0.7979537107
228	0.7967827163
229	0.7959769743
230	0.7951744578
231	0.7942606769
232	0.7930150109
233	0.791454378
234	0.7905072621
235	0.7890396269
236	0.7882137849
237	0.7870763662
238	0.7860515568
239	0.7845984083
240	0.7833761599
241	0.7823966175
242	0.781298044
243	0.7807688744
244	0.7800230393
245	0.7793629894
246	0.7780279885
247	0.7767266694
248	0.7746942595
249	0.7739520283
250	0.7732271582
251	0.7723285739
252	0.7712104121
253	0.7700199642
254	0.7687332427
255	0.7677064528
256	0.7670612807
257	0.7656211352
258	0.7644008045
259	0.7636315727
260	0.7625548914
261	0.7617750142
262	0.7612405153
263	0.7603340657
264	0.7593900676
265	0.7586156552
266	0.7577735464
267	0.7568802473
268	0.7561297486
269	0.7545948067
270	0.7530075035
271	0.7521492677
272	0.7511110683
273	0.7499543201
274	0.7493809128
275	0.7486354539
276	0.7482438581
277	0.747240654
278	0.7463354426
279	0.7450728783
280	0.7444083327
281	0.7424355942
282	0.7413908574
283	0.7401456066
284	0.7391153629
285	0.7383775229
286	0.7373952336
287	0.7365035495
288	0.7357471154
289	0.7341966102
290	0.7333693737
291	0.7324738308
292	0.7310199986
293	0.7303430631
294	0.7296593564
295	0.7288205206
296	0.7274244719
297	0.7261724325
298	0.724918735
299	0.7237937498
300	0.7225141556
301	0.7214685532
302	0.7203839296
303	0.7197852845
304	0.718284622
305	0.7172081455
306	0.7159780358
