iter	Passed	Remaining
0	12	25161
1	14	14613
2	16	11004
3	18	9346
4	20	8131
5	22	7474
6	25	7365
7	28	7198
8	31	6907
9	33	6649
10	35	6371
11	36	6093
12	39	5981
13	40	5788
14	42	5594
15	43	5425
16	45	5311
17	47	5218
18	49	5149
19	51	5063
20	52	4981
21	55	4949
22	56	4879
23	58	4805
24	59	4736
25	61	4692
26	63	4666
27	65	4632
28	68	4639
29	71	4719
30	74	4736
31	77	4739
32	83	4966
33	86	4983
34	88	4993
35	91	4971
36	93	4962
37	97	5013
38	99	5027
39	102	5028
40	104	5013
41	106	4986
42	108	4958
43	111	4946
44	113	4927
45	116	4928
46	117	4885
47	119	4875
48	121	4851
49	123	4819
50	125	4777
51	127	4760
52	128	4735
53	130	4716
54	132	4699
55	135	4701
56	137	4680
57	138	4645
58	140	4617
59	142	4610
60	144	4604
61	147	4611
62	149	4599
63	151	4588
64	153	4566
65	154	4536
66	156	4516
67	158	4510
68	161	4514
69	163	4514
70	170	4619
71	175	4693
72	177	4682
73	179	4676
74	182	4671
75	185	4693
76	187	4691
77	190	4687
78	192	4672
79	194	4660
80	196	4652
81	198	4636
82	201	4649
83	203	4643
84	205	4635
85	207	4625
86	209	4615
87	212	4618
88	214	4611
89	217	4611
90	219	4611
91	222	4606
92	224	4599
93	226	4591
94	229	4594
95	231	4588
96	234	4598
97	236	4591
98	240	4614
99	246	4677
100	250	4706
101	252	4701
102	255	4700
103	257	4693
104	260	4695
105	262	4681
106	264	4685
107	267	4677
108	268	4662
109	270	4655
110	273	4648
111	275	4647
112	277	4639
113	281	4653
114	283	4644
115	284	4626
116	286	4618
117	289	4612
118	291	4610
119	293	4599
120	297	4619
121	299	4610
122	301	4595
123	303	4587
124	305	4578
125	307	4575
126	310	4576
127	313	4591
128	322	4677
129	328	4730
130	331	4729
131	336	4756
132	338	4748
133	341	4759
134	349	4822
135	353	4849
136	357	4860
137	360	4866
138	363	4861
139	366	4868
140	369	4866
141	371	4859
142	373	4852
143	376	4853
144	378	4846
145	381	4842
146	384	4841
147	386	4835
148	391	4865
149	395	4876
150	397	4870
151	400	4865
152	402	4858
153	405	4857
154	407	4855
155	410	4846
156	412	4843
157	414	4834
158	416	4828
159	419	4821
160	421	4819
161	424	4815
162	427	4819
163	429	4809
164	431	4803
165	434	4799
166	437	4796
167	439	4790
168	441	4784
169	443	4778
170	446	4776
171	452	4809
172	454	4802
173	458	4813
174	461	4816
175	464	4815
176	467	4811
177	469	4807
178	472	4809
179	475	4811
180	478	4810
181	481	4810
182	485	4817
183	490	4842
184	493	4845
185	497	4853
186	499	4846
187	503	4853
188	507	4858
189	509	4850
190	512	4850
191	514	4844
192	517	4841
193	519	4832
194	521	4831
195	524	4822
196	526	4820
197	529	4816
198	531	4810
199	534	4806
200	539	4828
201	544	4843
202	548	4851
203	551	4852
204	554	4854
205	556	4847
206	559	4846
207	563	4859
208	570	4889
209	573	4887
210	577	4892
211	581	4900
212	600	5037
213	627	5238
214	651	5410
215	657	5428
216	669	5499
217	685	5606
218	709	5768
219	734	5946
220	782	6297
221	792	6345
222	806	6428
223	814	6455
224	818	6456
225	822	6459
226	827	6464
227	836	6499
228	847	6552
229	856	6590
230	870	6664
231	882	6726
232	930	7056
233	941	7109
234	957	7191
235	997	7452
236	1024	7620
237	1037	7679
238	1052	7756
239	1063	7796
240	1071	7822
241	1078	7832
242	1086	7856
243	1097	7899
244	1102	7900
245	1108	7901
246	1111	7889
247	1115	7880
248	1119	7871
249	1124	7871
250	1129	7872
251	1134	7869
252	1140	7874
253	1146	7881
254	1150	7875
255	1157	7884
256	1164	7900
257	1171	7911
258	1177	7911
259	1183	7920
260	1188	7919
261	1192	7910
262	1198	7916
263	1204	7919
264	1208	7912
265	1213	7912
266	1219	7918
267	1223	7909
268	1228	7906
269	1237	7927
270	1242	7927
271	1247	7922
272	1253	7928
273	1256	7912
274	1260	7906
275	1264	7896
276	1269	7895
277	1272	7883
278	1276	7875
279	1283	7885
280	1287	7874
281	1290	7864
282	1294	7856
283	1304	7881
284	1318	7934
285	1350	8095
286	1358	8110
287	1369	8141
288	1385	8202
289	1399	8252
290	1405	8253
291	1409	8242
292	1414	8241
293	1431	8308
294	1435	8298
295	1440	8291
296	1444	8282
297	1450	8285
298	1456	8283
299	1461	8281
300	1466	8279
301	1472	8276
302	1478	8279
303	1482	8271
304	1487	8267
305	1493	8265
306	1497	8258
307	1501	8249
308	1505	8236
309	1510	8235
310	1514	8227
311	1519	8221
312	1524	8217
313	1529	8212
314	1533	8204
315	1538	8196
316	1546	8209
317	1552	8212
318	1559	8219
319	1564	8211
320	1568	8201
321	1573	8200
322	1577	8189
323	1582	8183
324	1589	8192
325	1593	8184
326	1598	8180
327	1604	8181
328	1609	8175
329	1615	8174
330	1621	8174
331	1625	8167
332	1638	8203
333	1650	8230
334	1659	8248
335	1665	8247
336	1673	8258
337	1680	8263
338	1708	8372
339	1713	8364
340	1723	8385
341	1729	8383
342	1735	8385
343	1741	8383
344	1747	8383
345	1760	8417
346	1768	8424
347	1772	8415
348	1776	8402
349	1779	8391
350	1784	8382
351	1787	8370
352	1792	8361
353	1795	8348
354	1800	8342
355	1804	8333
356	1807	8318
357	1810	8305
358	1815	8299
359	1820	8291
360	1823	8279
361	1827	8268
362	1833	8269
363	1838	8262
364	1849	8286
365	1855	8282
366	1861	8284
367	1869	8290
368	1877	8299
369	1893	8343
370	1901	8349
371	1909	8355
372	1914	8350
373	1918	8339
374	1922	8332
375	1926	8320
376	1930	8312
377	1934	8301
378	1940	8299
379	1943	8284
380	1947	8274
381	1950	8263
382	1955	8254
383	1958	8242
384	1962	8233
385	1966	8221
386	1970	8211
387	1974	8202
388	1978	8192
389	1981	8179
390	1985	8169
391	1990	8164
392	1995	8159
393	1999	8150
394	2003	8141
395	2011	8148
396	2015	8137
397	2019	8127
398	2026	8130
399	2034	8138
400	2042	8143
401	2053	8164
402	2062	8171
403	2067	8169
404	2072	8161
405	2078	8160
406	2082	8152
407	2088	8148
408	2099	8167
409	2107	8172
410	2113	8170
411	2120	8171
412	2127	8175
413	2133	8171
414	2140	8173
415	2148	8181
416	2157	8189
417	2164	8192
418	2171	8193
419	2177	8192
420	2184	8192
421	2191	8195
422	2198	8197
423	2206	8201
424	2211	8196
425	2230	8242
426	2242	8261
427	2257	8291
428	2276	8336
429	2282	8334
430	2292	8344
431	2299	8348
432	2309	8359
433	2316	8357
434	2324	8362
435	2329	8355
436	2337	8361
437	2342	8355
438	2351	8360
439	2359	8366
440	2368	8372
441	2381	8394
442	2389	8399
443	2396	8397
444	2403	8399
445	2413	8407
446	2420	8410
447	2425	8402
448	2429	8393
449	2434	8387
450	2439	8380
451	2444	8372
452	2452	8375
453	2458	8370
454	2467	8377
455	2472	8371
456	2478	8369
457	2483	8361
458	2488	8353
459	2494	8349
460	2498	8340
461	2502	8330
462	2506	8320
463	2515	8326
464	2519	8316
465	2528	8322
466	2536	8327
467	2547	8338
468	2554	8338
469	2564	8348
470	2568	8337
471	2577	8344
472	2585	8346
473	2593	8348
474	2599	8346
475	2611	8360
476	2624	8380
477	2632	8381
478	2638	8378
479	2644	8374
480	2654	8383
481	2661	8383
482	2666	8375
483	2674	8377
484	2680	8372
485	2686	8369
486	2691	8360
487	2696	8354
488	2704	8358
489	2711	8355
490	2718	8355
491	2724	8350
492	2729	8343
493	2736	8341
494	2741	8335
495	2745	8325
496	2754	8329
497	2761	8327
498	2770	8332
499	2780	8342
500	2791	8352
501	2800	8355
502	2805	8350
503	2811	8344
504	2819	8346
505	2824	8338
506	2828	8328
507	2838	8336
508	2843	8329
509	2850	8328
510	2856	8324
511	2860	8313
512	2866	8308
513	2872	8303
514	2879	8303
515	2884	8295
516	2888	8286
517	2892	8276
518	2900	8275
519	2904	8267
520	2909	8258
521	2914	8252
522	2919	8243
523	2924	8237
524	2933	8242
525	2939	8236
526	2943	8228
527	2948	8220
528	2953	8212
529	2957	8201
530	2964	8199
531	2967	8189
532	2971	8179
533	2977	8174
534	2981	8164
535	2986	8156
536	2994	8158
537	2997	8146
538	3002	8137
539	3007	8131
540	3013	8125
541	3018	8119
542	3021	8108
543	3027	8103
544	3032	8095
545	3036	8085
546	3041	8080
547	3046	8072
548	3051	8066
549	3056	8057
550	3060	8048
551	3065	8040
552	3068	8030
553	3073	8022
554	3077	8012
555	3081	8002
556	3084	7991
557	3089	7983
558	3092	7972
559	3096	7962
560	3099	7951
561	3105	7945
562	3108	7934
563	3112	7924
564	3116	7914
565	3121	7908
566	3125	7898
567	3128	7888
568	3132	7877
569	3139	7876
570	3144	7869
571	3148	7860
572	3152	7851
573	3156	7841
574	3160	7831
575	3164	7822
576	3168	7813
577	3172	7803
578	3175	7794
579	3179	7784
580	3183	7775
581	3188	7768
582	3192	7760
583	3196	7749
584	3199	7739
585	3204	7731
586	3207	7721
587	3211	7712
588	3215	7703
589	3220	7695
590	3224	7686
591	3227	7676
592	3230	7665
593	3234	7656
594	3237	7644
595	3241	7635
596	3244	7625
597	3248	7615
598	3251	7604
599	3254	7594
600	3258	7586
601	3262	7576
602	3266	7566
603	3268	7554
604	3271	7543
605	3274	7533
606	3277	7522
607	3281	7512
608	3284	7501
609	3286	7489
610	3290	7480
611	3294	7472
612	3298	7462
613	3300	7451
614	3303	7439
615	3306	7429
616	3309	7418
617	3313	7410
618	3317	7400
619	3319	7389
620	3323	7380
621	3326	7370
622	3331	7362
623	3334	7352
624	3338	7344
625	3341	7334
626	3348	7331
627	3351	7321
628	3355	7314
629	3359	7304
630	3363	7298
631	3367	7288
632	3371	7280
633	3374	7271
634	3379	7265
635	3383	7256
636	3386	7246
637	3390	7238
638	3396	7233
639	3399	7223
640	3404	7217
641	3410	7214
642	3413	7204
643	3417	7195
644	3420	7186
645	3426	7180
646	3430	7172
647	3434	7165
648	3437	7155
649	3442	7150
650	3446	7141
651	3449	7132
652	3453	7124
653	3461	7123
654	3465	7116
655	3476	7123
656	3482	7118
657	3485	7109
658	3492	7107
659	3496	7098
660	3500	7091
661	3508	7091
662	3515	7088
663	3519	7081
664	3525	7077
665	3528	7068
666	3532	7060
667	3536	7051
668	3541	7046
669	3545	7038
670	3549	7029
671	3552	7021
672	3557	7014
673	3561	7006
674	3564	6997
675	3569	6990
676	3574	6984
677	3578	6976
678	3581	6968
679	3586	6962
680	3590	6953
681	3594	6945
682	3597	6937
683	3603	6932
684	3606	6924
685	3610	6916
686	3614	6907
687	3618	6900
688	3622	6892
689	3630	6892
690	3634	6885
691	3637	6875
692	3640	6865
693	3643	6855
694	3646	6846
695	3650	6839
696	3653	6830
697	3657	6822
698	3660	6813
699	3664	6805
700	3668	6797
701	3671	6788
702	3674	6778
703	3676	6768
704	3679	6758
705	3683	6751
706	3687	6743
707	3690	6735
708	3693	6726
709	3697	6718
710	3701	6710
711	3704	6701
712	3707	6692
713	3710	6682
714	3712	6672
715	3716	6664
716	3719	6655
717	3721	6645
718	3724	6636
719	3727	6627
720	3732	6620
721	3735	6611
722	3739	6604
723	3742	6595
724	3744	6585
725	3748	6578
726	3751	6569
727	3754	6560
728	3757	6550
729	3760	6541
730	3763	6534
731	3766	6524
732	3769	6515
733	3771	6505
734	3774	6496
735	3777	6487
736	3780	6479
737	3783	6470
738	3786	6460
739	3790	6453
740	3793	6445
741	3797	6439
742	3800	6429
743	3804	6422
744	3808	6415
745	3813	6409
746	3816	6402
747	3821	6395
748	3824	6387
749	3828	6381
750	3832	6373
751	3835	6365
752	3839	6358
753	3844	6353
754	3847	6344
755	3850	6336
756	3854	6329
757	3857	6321
758	3862	6314
759	3864	6305
760	3869	6299
761	3872	6291
762	3876	6284
763	3879	6276
764	3883	6269
765	3887	6261
766	3891	6256
767	3896	6250
768	3899	6242
769	3902	6234
770	3906	6227
771	3912	6223
772	3915	6215
773	3918	6207
774	3921	6198
775	3925	6191
776	3928	6183
777	3932	6176
778	3935	6169
779	3941	6165
780	3948	6162
781	3953	6157
782	3957	6150
783	3960	6142
784	3965	6137
785	3968	6129
786	3972	6122
787	3975	6114
788	3979	6107
789	3983	6101
790	3987	6094
791	3990	6087
792	3994	6079
793	3998	6074
794	4002	6066
795	4007	6062
796	4013	6058
797	4018	6052
798	4022	6046
799	4026	6039
800	4030	6032
801	4033	6025
802	4038	6019
803	4041	6011
804	4045	6006
805	4055	6007
806	4058	5999
807	4061	5992
808	4064	5984
809	4070	5980
810	4074	5973
811	4079	5968
812	4086	5966
813	4089	5958
814	4094	5953
815	4098	5946
816	4103	5941
817	4106	5934
818	4111	5928
819	4115	5922
820	4119	5916
821	4123	5908
822	4128	5904
823	4134	5900
824	4137	5893
825	4142	5887
826	4145	5879
827	4149	5873
828	4153	5866
829	4157	5860
830	4161	5853
831	4166	5848
832	4169	5841
833	4175	5837
834	4183	5836
835	4187	5829
836	4190	5822
837	4194	5816
838	4199	5811
839	4205	5807
840	4208	5799
841	4213	5794
842	4217	5788
843	4222	5783
844	4227	5778
845	4233	5774
846	4237	5769
847	4243	5765
848	4251	5764
849	4258	5761
850	4266	5760
851	4271	5755
852	4275	5748
853	4281	5745
854	4287	5741
855	4294	5739
856	4298	5733
857	4305	5730
858	4312	5728
859	4315	5720
860	4320	5715
861	4324	5708
862	4328	5703
863	4332	5696
864	4336	5690
865	4360	5709
866	4421	5778
867	4500	5869
868	4506	5864
869	4509	5857
870	4514	5852
871	4520	5847
872	4527	5845
873	4533	5840
874	4539	5836
875	4542	5828
876	4546	5821
877	4549	5814
878	4555	5809
879	4559	5803
880	4563	5795
881	4567	5789
882	4572	5783
883	4576	5777
884	4579	5769
885	4584	5764
886	4588	5757
887	4592	5751
888	4596	5744
889	4602	5740
890	4607	5734
891	4610	5727
892	4617	5724
893	4626	5723
894	4631	5718
895	4635	5711
896	4661	5731
897	4670	5731
898	4676	5726
899	4683	5723
900	4687	5717
901	4700	5722
902	4703	5714
903	4707	5706
904	4709	5698
905	4715	5693
906	4717	5685
907	4721	5678
908	4724	5670
909	4730	5665
910	4732	5657
911	4737	5651
912	4740	5644
913	4747	5640
914	4750	5632
915	4756	5629
916	4766	5629
917	4770	5623
918	4774	5616
919	4779	5610
920	4782	5602
921	4785	5595
922	4789	5588
923	4796	5585
924	4801	5580
925	4804	5572
926	4810	5568
927	4814	5561
928	4817	5554
929	4820	5546
930	4825	5540
931	4828	5533
932	4833	5527
933	4837	5521
934	4842	5515
935	4845	5507
936	4848	5500
937	4851	5492
938	4856	5487
939	4859	5480
940	4863	5473
941	4866	5465
942	4869	5458
943	4873	5451
944	4876	5444
945	4879	5436
946	4881	5428
947	4885	5421
948	4891	5416
949	4896	5411
950	4900	5405
951	4908	5403
952	4911	5396
953	4914	5388
954	4917	5381
955	4922	5375
956	4925	5367
957	4930	5362
958	4933	5355
959	4939	5350
960	4943	5344
961	4946	5336
962	4949	5329
963	4953	5323
964	4956	5316
